target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_SIZE
0,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,15.696159362792969,1
1,0.0,0.0,,0,1,6,3,1,1,VARSmall/returns,data_0.csv,15.568562507629395,1
2,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,14.829324960708618,1
3,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,15.253926038742065,1
4,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,15.30316162109375,1
5,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,14.227081775665283,1
6,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,14.381205081939697,1
7,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,14.929674863815308,1
8,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,15.030487775802612,1
9,1.0,0.16666666666666666,0.2857142857142857,1,0,5,4,1,1,VARSmall/returns,data_0.csv,15.803207874298096,1
0,0.5,0.16666666666666666,0.25,1,1,5,3,2,1,VARSmall/returns,data_0.csv,0.00022029876708984375,2
1,0.5,0.16666666666666666,0.25,1,1,5,3,2,1,VARSmall/returns,data_0.csv,0.0002009868621826172,2
2,1.0,0.3333333333333333,0.5,2,0,4,4,2,1,VARSmall/returns,data_0.csv,0.00019025802612304688,2
3,1.0,0.3333333333333333,0.5,2,0,4,4,2,1,VARSmall/returns,data_0.csv,0.00018405914306640625,2
4,0.5,0.16666666666666666,0.25,1,1,5,3,2,1,VARSmall/returns,data_0.csv,0.00019979476928710938,2
5,0.5,0.16666666666666666,0.25,1,1,5,3,2,1,VARSmall/returns,data_0.csv,0.00019097328186035156,2
6,1.0,0.3333333333333333,0.5,2,0,4,4,2,1,VARSmall/returns,data_0.csv,0.0001761913299560547,2
7,0.5,0.16666666666666666,0.25,1,1,5,3,2,1,VARSmall/returns,data_0.csv,0.0001971721649169922,2
8,1.0,0.3333333333333333,0.5,2,0,4,4,2,1,VARSmall/returns,data_0.csv,0.00016736984252929688,2
