target,precision,recall,f1-score,TP,FP,FN,TN,Selected_features,Lags,Dataset,File_name,Execution_time,FS_size
E,1.0,0.5,0.6666666666666666,1,0,1,5,1,1,SynthNonlin/7ts2h,data_0.csv,14.905239582061768,1
B,1.0,0.5,0.6666666666666666,1,0,1,5,1,1,SynthNonlin/7ts2h,data_0.csv,16.44783592224121,1
F,1.0,0.5,0.6666666666666666,1,0,1,5,1,1,SynthNonlin/7ts2h,data_0.csv,17.076133251190186,1
C,1.0,1.0,1.0,1,0,0,6,1,1,SynthNonlin/7ts2h,data_0.csv,17.42337417602539,1
H,1.0,0.5,0.6666666666666666,1,0,1,5,1,1,SynthNonlin/7ts2h,data_0.csv,18.447774410247803,1
D,0.0,0.0,,0,1,2,4,1,1,SynthNonlin/7ts2h,data_0.csv,17.321391344070435,1
A,0.0,0.0,,0,1,2,4,1,1,SynthNonlin/7ts2h,data_0.csv,17.761093378067017,1
E,0.5,0.5,0.5,1,1,1,4,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
B,1.0,1.0,1.0,2,0,0,5,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,0.5,0.5,0.5,1,1,1,4,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
C,0.5,1.0,0.6666666666666666,1,1,0,5,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
H,0.5,0.5,0.5,1,1,1,4,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
D,0.0,0.0,,0,2,2,3,2,1,SynthNonlin/7ts2h,data_0.csv,0.0,2
A,0.0,0.0,,0,2,2,3,2,1,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,2
E,0.6666666666666666,1.0,0.8,2,1,0,4,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
B,0.6666666666666666,1.0,0.8,2,1,0,4,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
F,0.3333333333333333,0.5,0.4,1,2,1,3,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
C,0.3333333333333333,1.0,0.5,1,2,0,4,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
H,0.6666666666666666,1.0,0.8,2,1,0,4,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.3333333333333333,0.5,0.4,1,2,1,3,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
A,0.0,0.0,,0,3,2,2,3,1,SynthNonlin/7ts2h,data_0.csv,0.0,3
E,0.5,1.0,0.6666666666666666,2,2,0,3,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
B,0.5,1.0,0.6666666666666666,2,2,0,3,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
F,0.25,0.5,0.3333333333333333,1,3,1,2,4,1,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,4
C,0.25,1.0,0.4,1,3,0,3,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
H,0.5,1.0,0.6666666666666666,2,2,0,3,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
D,0.5,1.0,0.6666666666666666,2,2,0,3,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
A,0.25,0.5,0.3333333333333333,1,3,1,2,4,1,SynthNonlin/7ts2h,data_0.csv,0.0,4
E,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
B,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
F,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
C,0.2,1.0,0.33333333333333337,1,4,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
H,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
D,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
A,0.4,1.0,0.5714285714285715,2,3,0,2,5,1,SynthNonlin/7ts2h,data_0.csv,0.0,5
E,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
B,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
F,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
C,0.16666666666666666,1.0,0.2857142857142857,1,5,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
H,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
D,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
A,0.3333333333333333,1.0,0.5,2,4,0,1,6,1,SynthNonlin/7ts2h,data_0.csv,0.0,6
E,1.0,0.5,0.6666666666666666,1,0,1,5,1,2,SynthNonlin/7ts2h,data_0.csv,29.83304762840271,1
B,0.0,0.0,,0,1,2,4,1,2,SynthNonlin/7ts2h,data_0.csv,29.668994426727295,1
F,0.0,0.0,,0,1,2,4,1,2,SynthNonlin/7ts2h,data_0.csv,30.266118049621582,1
C,1.0,1.0,1.0,1,0,0,6,1,2,SynthNonlin/7ts2h,data_0.csv,29.596612691879272,1
H,1.0,0.5,0.6666666666666666,1,0,1,5,1,2,SynthNonlin/7ts2h,data_0.csv,28.517454624176025,1
D,0.0,0.0,,0,1,2,4,1,2,SynthNonlin/7ts2h,data_0.csv,33.07106375694275,1
A,0.0,0.0,,0,1,2,4,1,2,SynthNonlin/7ts2h,data_0.csv,33.226609230041504,1
E,1.0,1.0,1.0,2,0,0,5,2,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
B,0.5,0.5,0.5,1,1,1,4,2,2,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,2
F,0.5,0.5,0.5,1,1,1,4,2,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
C,0.5,1.0,0.6666666666666666,1,1,0,5,2,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
H,0.5,0.5,0.5,1,1,1,4,2,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
D,0.0,0.0,,0,2,2,3,2,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
A,0.0,0.0,,0,1,2,4,2,2,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,1
E,0.6666666666666666,1.0,0.8,2,1,0,4,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
B,0.5,0.5,0.5,1,1,1,4,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
F,0.5,0.5,0.5,1,1,1,4,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
C,0.3333333333333333,1.0,0.5,1,2,0,4,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
H,0.3333333333333333,0.5,0.4,1,2,1,3,3,2,SynthNonlin/7ts2h,data_0.csv,0.000997304916381836,3
D,0.3333333333333333,0.5,0.4,1,2,1,3,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
A,0.0,0.0,,0,2,2,3,3,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
E,0.6666666666666666,1.0,0.8,2,1,0,4,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
B,0.6666666666666666,1.0,0.8,2,1,0,4,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
F,0.5,0.5,0.5,1,1,1,4,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,2
C,0.3333333333333333,1.0,0.5,1,2,0,4,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
H,0.3333333333333333,0.5,0.4,1,2,1,3,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.3333333333333333,0.5,0.4,1,2,1,3,4,2,SynthNonlin/7ts2h,data_0.csv,0.0009970664978027344,3
A,0.3333333333333333,0.5,0.4,1,2,1,3,4,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
E,0.6666666666666666,1.0,0.8,2,1,0,4,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
B,0.5,1.0,0.6666666666666666,2,2,0,3,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,4
F,0.6666666666666666,1.0,0.8,2,1,0,4,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
C,0.25,1.0,0.4,1,3,0,3,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,4
H,0.3333333333333333,0.5,0.4,1,2,1,3,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
D,0.3333333333333333,0.5,0.4,1,2,1,3,5,2,SynthNonlin/7ts2h,data_0.csv,0.0,3
A,0.25,0.5,0.3333333333333333,1,3,1,2,5,2,SynthNonlin/7ts2h,data_0.csv,0.0009975433349609375,4
